Player_name,Player_Ground,Player_match,Player_Inns,Player_NO,Player_Runs,Player_HS,Player_Ave,Player_BF,Player_SR,Player_hundred
V Kohli,"Australia - Manuka Oval, Canberra",1,1,0,63,63,63,78,80.76,0
LS Livingstone,"India - Maharashtra Cricket Association Stadium, Pune",2,2,1,63,36,63,52,121.15,0
Naseem Khushi,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,4,2,63,35*,31.5,76,82.89,0
Sandeep Goud,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,1,63,54*,63,82,76.82,0
HT Tector,"Ireland - Civil Service Cricket Club, Stormont, Belfast",2,2,1,63,50,63,71,88.73,0
BFW de Leede,"Netherlands - Sportpark Maarschalkerweerd, Utrecht",3,3,0,62,23,20.66,165,37.57,0
N Pooran,"West Indies - Kensington Oval, Bridgetown, Barbados",3,3,1,62,59*,31,84,73.8,0
K Verreynne,"South Africa - SuperSport Park, Centurion",1,1,0,62,62,62,53,116.98,0
Liton Das,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",4,4,0,61,25,15.25,107,57,0
BKG Mendis,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",3,3,0,61,24,20.33,94,64.89,0
Mosaddek Hossain,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",2,2,0,61,51,30.5,84,72.61,0
Sandeep Goud,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,2,61,27*,20.33,88,69.31,0
GH Dockrell,"Ireland - The Village, Malahide, Dublin",2,2,0,60,45,30,52,115.38,0
SA Edwards,"Netherlands - Hazelaarweg, Rotterdam",2,2,0,60,56,30,78,76.92,0
Ishan Kishan,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",2,2,0,60,59,30,46,130.43,0
JJ Roy,"England - Kennington Oval, London",1,1,0,60,60,60,52,115.38,0
PD Salt,"England - Lord's, London",1,1,0,60,60,60,54,111.11,0
HE van der Dussen,"South Africa - The Wanderers Stadium, Johannesburg",1,1,0,60,60,60,37,162.16,0
MM Ali,"India - Maharashtra Cricket Association Stadium, Pune",3,2,0,59,30,29.5,62,95.16,0
Mahmudullah,Zimbabwe - Harare Sports Club,3,3,0,59,33,19.66,88,67.04,0
GJ Maxwell,"Australia - Manuka Oval, Canberra",1,1,0,59,59,59,38,155.26,0
Ayaan Khan,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,0,58,44,29,89,65.16,0
JO Holder,"West Indies - Kensington Oval, Bridgetown, Barbados",3,3,0,57,52,19,88,64.77,0
MR Marsh,"West Indies - Kensington Oval, Bridgetown, Barbados",3,3,0,57,29,19,60,95,0
Aqib Ilyas,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),1,1,0,56,56,56,77,72.72,0
Imam-ul-Haq,"England - Edgbaston, Birmingham",1,1,0,56,56,56,73,76.71,0
E Lewis,"West Indies - Kensington Oval, Bridgetown, Barbados",3,3,1,56,55*,28,80,70,0
Saud Shakeel,"England - Lord's, London",1,1,0,56,56,56,77,72.72,0
BRM Taylor,"Ireland - Civil Service Cricket Club, Stormont, Belfast",2,2,0,56,49,28,57,98.24,0
JM Vince,"England - Lord's, London",1,1,0,56,56,56,52,107.69,0
S Bau,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),3,3,0,55,31,18.33,105,52.38,0
PVD Chameera,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",6,5,0,55,29,11,74,74.32,0
